,criterion,max_depth,max_features,n_estimators,mean_test_score,std_test_score
0,entropy,10,sqrt,500,0.9477911646586346,0.015450107680057284
1,entropy,11,log2,2500,0.9477911646586346,0.015026736493068023
2,entropy,11,log2,2500,0.9477911646586346,0.015026736493068023
3,entropy,11,log2,3000,0.9477911646586346,0.015026736493068023
4,gini,10,sqrt,2000,0.9429718875502008,0.018560995997255175
5,entropy,11,sqrt,1500,0.946987951807229,0.015112359616246383
6,entropy,11,log2,2500,0.9477911646586346,0.015026736493068023
7,entropy,5,sqrt,1000,0.946987951807229,0.013772231485527904
8,gini,9,log2,2000,0.9437751004016064,0.015450107680057272
9,entropy,11,log2,3000,0.9477911646586346,0.015026736493068023
10,gini,7,log2,500,0.9453815261044177,0.014723134762910308
11,entropy,12,log2,2000,0.9477911646586346,0.015026736493068023
12,entropy,7,log2,500,0.946987951807229,0.01594331987251341
13,entropy,9,log2,1000,0.9453815261044177,0.015574875043907851
14,gini,5,log2,2000,0.9429718875502008,0.017301734320110847
15,gini,9,log2,1000,0.9437751004016064,0.015450107680057272
16,gini,11,sqrt,500,0.9437751004016064,0.019343927034204504
17,entropy,7,sqrt,1500,0.9477911646586346,0.013912054679268085
18,gini,7,sqrt,1500,0.9429718875502008,0.018560995997255175
19,entropy,11,sqrt,500,0.9477911646586346,0.015450107680057284
20,entropy,9,sqrt,500,0.9493975903614459,0.015366366642336505
21,entropy,9,log2,500,0.9485943775100403,0.013295538439555688
22,gini,9,log2,500,0.9437751004016064,0.015450107680057272
23,entropy,7,sqrt,1000,0.9477911646586346,0.014591086043843302
24,entropy,7,sqrt,500,0.9461847389558233,0.01578062867822366
25,gini,7,sqrt,1000,0.9429718875502008,0.018560995997255175
26,entropy,7,log2,2500,0.9453815261044177,0.015366366642336534
27,gini,9,sqrt,2500,0.9437751004016064,0.01741323966962152
28,gini,7,sqrt,500,0.9437751004016064,0.01741323966962152
29,entropy,9,sqrt,2500,0.9485943775100403,0.014897379109230018
30,gini,11,sqrt,1000,0.9429718875502008,0.018560995997255175
31,gini,9,sqrt,1500,0.9429718875502008,0.018560995997255175
32,entropy,9,sqrt,3000,0.9493975903614459,0.013583561867701006
33,entropy,9,sqrt,1500,0.9477911646586346,0.014591086043843302
34,entropy,7,log2,1000,0.9461847389558233,0.015574875043907876
35,entropy,7,log2,1500,0.9461847389558233,0.01450238561065684
36,entropy,12,log2,500,0.946987951807229,0.014679250508029752
37,entropy,7,sqrt,3000,0.9493975903614459,0.013583561867701006
38,entropy,12,log2,2500,0.9477911646586346,0.015026736493068023
39,gini,7,log2,3000,0.9437751004016064,0.015450107680057272
